"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"020641","Livers,frozen","302","Denmark","955,017",
"020641","Livers,frozen","304","Germany","20,426",
"020641","Livers,frozen","306","Ireland","81,222",
"020641","Livers,frozen","309","Netherlands","693,948",
"020641","Livers,frozen","312","Spain","913,930",
"020641","Livers,frozen","412","Chile","836,474",
"020649","Other edible offal of swine,frozen","302","Denmark","254,904,091",
"020649","Other edible offal of swine,frozen","303","United Kingdom","67,116,591",
"020649","Other edible offal of swine,frozen","304","Germany","321,619,445",
"020649","Other edible offal of swine,frozen","305","France","142,354,730",
"020649","Other edible offal of swine,frozen","306","Ireland","46,985,885",
"020649","Other edible offal of swine,frozen","307","Italy","285,554",
"020649","Other edible offal of swine,frozen","309","Netherlands","229,420,650",
"020649","Other edible offal of swine,frozen","312","Spain","300,335,153",
"020649","Other edible offal of swine,frozen","318","Finland","9,957,681",
"020649","Other edible offal of swine,frozen","412","Chile","57,526,534",
"020649","Other edible offal of swine,frozen","429","Mexico","4,674,371",
"020649","Other edible offal of swine,frozen","501","Canada","154,374,393",
"020649","Other edible offal of swine,frozen","502","United States","273,964,688",
"160249","Other, including mixtures","116","Japan","1,353",
"160249","Other, including mixtures","142","China","42,377",
"160249","Other, including mixtures","302","Denmark","2,820,946",
"160249","Other, including mixtures","304","Germany","3,417",
"160249","Other, including mixtures","305","France","53,581",
"160249","Other, including mixtures","307","Italy","74,206",
"160249","Other, including mixtures","344","Russia","105",
"160249","Other, including mixtures","502","United States","50,482",
